threads, time1, time2, time3, time4, time5, time6, time7, time8, time9, time10,media,desEstandar,speedup,eficiencia
1,974.838323,986.4042359000014,977.8098258999962,977.637765600004,982.4295354999996,994.9792218000002,1000.0816196000014,1004.8004519000024,995.6000022000007,1001.216243799994,989.57972252,10.499647534873564,1.0,1.0
2,759.0822891999997,767.8437594999996,760.9323803000007,750.4571100000003,760.1997236999996,750.8835410000029,754.3782376000017,746.6043440099988,737.2477119000032,735.6050745999964,752.3234171810003,9.858905244544305,1.315364775202682,0.657682387601341
4,481.4568870000003,478.3037006000013,476.9517642999999,480.3412300999894,476.6612871000034,483.0017769999977,482.8590323000022,484.0391888000013,479.1317771000174,480.1383900999856,480.28850343999983,2.428899577274461,2.060386029297542,0.5150965073243855
6,389.9978327000063,396.369243000001,391.494978499999,391.9964158000025,391.2337157000002,391.8019715999807,393.3272337999516,396.1393882999825,391.3326649000096,392.088534399998,392.5781978699931,1.999663884071453,2.520720019321376,0.4201200032202293
7,361.27074359999824,377.3118863000018,358.7702909999975,363.3956483999973,365.3051850999982,362.93049739999697,361.8587803000094,366.2243300999981,363.2968901000002,362.80072959999694,364.3164981899995,4.750589085338646,2.7162638185106602,0.38803768835866576
